Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway,Combined_Co2
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,small car,3.0,25,35,29,6,No,309
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,small car,3.0,25,35,29,6,No,309
ACURA MDX,3.0,6,AMS-7,4WD,Gasoline,CA,small SUV,3.0,26,27,27,6,No,330
ACURA MDX,3.0,6,AMS-7,4WD,Gasoline,FA,small SUV,3.0,26,27,27,6,No,330
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small SUV,3.0,19,27,22,4,No,404
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small SUV,3.0,20,27,23,5,No,390
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small SUV,3.0,19,27,22,4,No,404
ACURA MDX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small SUV,3.0,20,27,23,5,No,390
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small SUV,3.0,18,26,21,4,No,424
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small SUV,3.0,19,26,22,4,No,404
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small SUV,3.0,18,26,21,4,No,424
ACURA MDX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small SUV,3.0,19,26,22,4,No,404
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,CA,small car,3.0,21,22,21,4,No,420
ACURA NSX,3.5,6,AMS-9,4WD,Gasoline,FA,small car,3.0,21,22,21,4,No,420
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,FA,small SUV,3.0,20,28,23,5,No,386
ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,CA,small SUV,3.0,20,28,23,5,No,386
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,FA,small SUV,3.0,19,27,22,4,No,402
ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,CA,small SUV,3.0,19,27,22,4,No,402
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,CA,midsize car,7.0,28,29,28,6,No,316
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,FA,midsize car,7.0,28,29,28,6,No,316
ACURA RLX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,midsize car,3.0,20,29,23,5,No,383
ACURA RLX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,midsize car,3.0,20,29,23,5,No,383
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,CA,small car,3.0,23,33,27,6,No,330
ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,FA,small car,3.0,23,33,27,6,No,330
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small car,3.0,20,32,24,5,No,368
ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small car,3.0,20,32,24,5,No,368
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small car,3.0,21,30,24,5,No,369
ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small car,3.0,21,30,24,5,No,369
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,CA,small car,3.0,20,29,23,5,No,387
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,FA,small car,3.0,20,29,23,5,No,387
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,CA,small car,3.0,20,30,23,5,No,382
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,FA,small car,3.0,20,30,23,5,No,382
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,CA,small car,1.0,24,34,28,6,No,317
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,FA,small car,1.0,24,34,28,6,No,317
ALFA ROMEO Giulia,2.0,4,Auto-8,2WD,Gasoline,FA,midsize car,3.0,24,33,27,6,No,330
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,midsize car,3.0,17,24,20,4,No,451
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,midsize car,3.0,17,24,20,4,No,451
ALFA ROMEO Giulia AWD,2.0,4,Auto-8,4WD,Gasoline,FA,midsize car,3.0,23,31,26,5,No,348
ALFA ROMEO Stelvio AWD,2.0,4,Auto-8,4WD,Gasoline,FA,small SUV,3.0,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,CA,small SUV,3.0,17,23,19,3,No,470
